author_channel_id,author_handle,author_name,n_comentarios,n_videos_distintos,n_canales_distintos,me_gusta_recibidos,respuestas_recibidas,strength_bipartita,degree_proyeccion_autores,strength_proyeccion_autores,n_comunidades_video_tocadas,comunidades_video_tocadas,videos_comentados,titulos_videos,canales,delta_componentes_al_eliminar,aristas_video_perdidas_al_eliminar,es_puente_verificado,es_recurrente,es_multicanal,es_multicomunidad
UC8xlJWNHz1V_W6q3fbuQH8g,@NormaLópez-v7e,@NormaLópez-v7e,1,1,1,1,0,1,18,18,1,[1],PjmxCj-a9Hg,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,Gobierno de la República de Guatemala,0,0,False,False,False,False
UC95PSMouTx2N5CbSq0hIyrQ,@lisss1908,@lisss1908,1,1,1,0,0,1,48,48,1,[0],j43HgwYFKfk,La cooptación de Walter Mazariegos en la USAC,Quorum,0,0,False,False,False,False
UC9Wp6vL5oCU37qC3Aj94WZA,@ManuelSanchez-b8q2z,@ManuelSanchez-b8q2z,1,1,1,0,0,1,6,6,1,[0],b_Hkrkl3adA,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,PrensaLibreOficial,0,0,False,False,False,False
UC9xr9QvIcDvoZNUX5f-jaZw,@MariaaliciaColonmorales,@MariaaliciaColonmorales,1,1,1,0,0,1,127,127,1,[0],n8iP75gIpmw,Qué rico come tu diputado,Quorum,0,0,False,False,False,False
UCA93ym2TXs_Ibyxb4Vcn-6Q,@oswaldosolis8728,@oswaldosolis8728,1,1,1,0,0,1,127,127,1,[0],n8iP75gIpmw,Qué rico come tu diputado,Quorum,0,0,False,False,False,False
UCAKuKvcbfnBD3kF5njNu-IA,@melvinlopez7096,@melvinlopez7096,1,1,1,0,0,1,48,48,1,[0],j43HgwYFKfk,La cooptación de Walter Mazariegos en la USAC,Quorum,0,0,False,False,False,False
UCAV7QIjYhbDJaycQycM_0eQ,@mariavail8998,@mariavail8998,1,1,1,3,0,1,18,18,1,[1],PjmxCj-a9Hg,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,Gobierno de la República de Guatemala,0,0,False,False,False,False
UCAlzM_N6xBlMYmM8EBzX86Q,@carlossoto3252,@carlossoto3252,1,1,1,3,0,1,127,127,1,[0],n8iP75gIpmw,Qué rico come tu diputado,Quorum,0,0,False,False,False,False
UCAmtbUiIrUIhikru0ZoTFig,@Aura-vf6dm,@Aura-vf6dm,1,1,1,7,0,1,127,127,1,[0],n8iP75gIpmw,Qué rico come tu diputado,Quorum,0,0,False,False,False,False
UCB5p8a5gklc80jJItP6xTHg,@ernestogamboa8737,@ernestogamboa8737,1,1,1,6,0,1,127,127,1,[0],n8iP75gIpmw,Qué rico come tu diputado,Quorum,0,0,False,False,False,False
